fusion,CCLE_Omics,Breast,sources,source_count
AP3B1--LHFPL2,1,0,CCLE_Omics,1
AP3B1--SCAMP1,1,0,CCLE_Omics,1
AP3B1--TBCA,1,0,CCLE_Omics,1
AP3D1--JSRP1,1,0,CCLE_Omics,1
AP3D1--RTN4,1,0,CCLE_Omics,1
AP3S1--COMMD10,0,1,Breast,1
AP4B1-AS1--VAV3,0,1,Breast,1
AP5B1--PKM,1,0,CCLE_Omics,1
APBA3--TJP3,1,0,CCLE_Omics,1
API5--TTC17,1,0,CCLE_Omics,1
APLP2--APP,1,0,CCLE_Omics,1
APLP2--HSP90AB1,1,0,CCLE_Omics,1
APLP2--PTMA,1,0,CCLE_Omics,1
APLP2--RPL10,1,0,CCLE_Omics,1
APLP2--ST14,1,0,CCLE_Omics,1
APP--BACH1,1,0,CCLE_Omics,1
APP--MT-ND2,1,0,CCLE_Omics,1
APP--MT-ND4,1,0,CCLE_Omics,1
APP--RPL7A,1,0,CCLE_Omics,1
APP--SLC3A2,1,0,CCLE_Omics,1
APP--SND1,1,0,CCLE_Omics,1
APP--UCHL1,1,0,CCLE_Omics,1
APPBP2--VMP1,1,0,CCLE_Omics,1
APRT--RPLP1,1,0,CCLE_Omics,1
APTR--RSBN1L,1,0,CCLE_Omics,1
APTX--DNAJA1,1,0,CCLE_Omics,1
ARCN1--KMT2A,1,0,CCLE_Omics,1
ARF1--MARCKS,1,0,CCLE_Omics,1
ARF1--MT-CO1,1,0,CCLE_Omics,1
ARF1--MT-ND4,1,0,CCLE_Omics,1
ARF1--NOP53,1,0,CCLE_Omics,1
ARFGEF2--CSE1L,1,0,CCLE_Omics,1
ARFGEF2--PREX1,1,0,CCLE_Omics,1
ARFGEF2--SLC9A8,1,0,CCLE_Omics,1
ARHGAP15--GTDC1,1,0,CCLE_Omics,1
ARHGAP18--TMEM244,1,0,CCLE_Omics,1
ARHGAP19--SLIT1,1,0,CCLE_Omics,1
ARHGAP27P1-BPTFP1-KPNA2P3--SMURF2,1,0,CCLE_Omics,1
ARHGAP29--DNTTIP2,1,0,CCLE_Omics,1
ARHGAP29--MT-ATP6,1,0,CCLE_Omics,1
ARHGAP4--EIF3F,1,0,CCLE_Omics,1
ARHGAP45--MT-CO1,1,0,CCLE_Omics,1
ARHGDIA--MT-CO3,1,0,CCLE_Omics,1
ARHGEF1--RPS19,1,0,CCLE_Omics,1
ARHGEF10L--CROCCP2,1,0,CCLE_Omics,1
ARHGEF2--SSR2,1,0,CCLE_Omics,1
ARHGEF9--LINC01278,1,0,CCLE_Omics,1
ARID1A--ATP5IF1,1,0,CCLE_Omics,1
ARID1A--MT-RNR2,1,0,CCLE_Omics,1
ARID1A--WDTC1,1,0,CCLE_Omics,1
ARID2--SCAF11,1,0,CCLE_Omics,1
ARID4A--PSMA3,1,0,CCLE_Omics,1
ARID4B--TARBP1,1,0,CCLE_Omics,1
ARL14EPL--NDUFC1,1,0,CCLE_Omics,1
ARL15--NDUFS4,1,0,CCLE_Omics,1
ARL17A--KANSL1,1,0,CCLE_Omics,1
ARL8B--EDEM1,1,0,CCLE_Omics,1
ARMC9--PSMD1,1,0,CCLE_Omics,1
ARPC3--C12orf76,1,0,CCLE_Omics,1
ARPC4--MT-ND4,1,0,CCLE_Omics,1
ARPC4--OGG1,1,0,CCLE_Omics,1
ARPP19--GNB5,1,0,CCLE_Omics,1
ARRDC1--EHMT1,1,0,CCLE_Omics,1
ARSG--BPTF,1,0,CCLE_Omics,1
ASCC1--DNAJB12,1,0,CCLE_Omics,1
ASH1L--YY1AP1,1,0,CCLE_Omics,1
ASNS--FAU,1,0,CCLE_Omics,1
ASPH--CHMP1A,1,0,CCLE_Omics,1
ASPH--FUS,1,0,CCLE_Omics,1
ASPH--GNAS,1,0,CCLE_Omics,1
ASPH--RPL28,1,0,CCLE_Omics,1
ASPH--RPS3,1,0,CCLE_Omics,1
ASXL1--KIF3B,1,0,CCLE_Omics,1
ATAD2--PTMA,1,0,CCLE_Omics,1
ATAD2B--UBXN2A,1,0,CCLE_Omics,1
ATAT1--C6orf136,1,0,CCLE_Omics,1
ATF6B--FKBPL,1,0,CCLE_Omics,1
ATF6B--MT-CO3,1,0,CCLE_Omics,1
ATF7IP--HMGN1,1,0,CCLE_Omics,1
ATG10--MT-CO1,1,0,CCLE_Omics,1
ATG10--MT-ND4,1,0,CCLE_Omics,1
ATIC--XRCC5,1,0,CCLE_Omics,1
ATL2--HNRNPLL,1,0,CCLE_Omics,1
ATN1--MT-ATP6,1,0,CCLE_Omics,1
ATN1--MT-ATP8,1,0,CCLE_Omics,1
ATP1A1--EEF1A1,1,0,CCLE_Omics,1
ATP1A1--MT-ND4,1,0,CCLE_Omics,1
ATP1A1--MT-RNR1,1,0,CCLE_Omics,1
ATP1B3--VIM,1,0,CCLE_Omics,1
ATP2A2--FN1,1,0,CCLE_Omics,1
ATP2A2--IFT81,1,0,CCLE_Omics,1
ATP2A2--MT-CO3,1,0,CCLE_Omics,1
ATP2A2--MT-ND5,1,0,CCLE_Omics,1
ATP2C1--NCL,1,0,CCLE_Omics,1
ATP5F1A--DDX1,1,0,CCLE_Omics,1
ATP5F1A--RPL13A,1,0,CCLE_Omics,1
ATP5F1B--HSP90AA1,1,0,CCLE_Omics,1
ATP5F1B--NBEAL1,1,0,CCLE_Omics,1
ATP5F1B--NCL,1,0,CCLE_Omics,1
ATP5F1B--PTGES3,1,0,CCLE_Omics,1
ATP5F1E--COX6A1,1,0,CCLE_Omics,1
ATP5ME--EEF1A1,1,0,CCLE_Omics,1
ATP5PF--MT-CO1,1,0,CCLE_Omics,1
ATP6V0B--PKM,1,0,CCLE_Omics,1
ATP6V1C1--AZIN1,1,0,CCLE_Omics,1
ATP6V1C2--MT-RNR2,1,0,CCLE_Omics,1
ATR--XRN1,1,0,CCLE_Omics,1
ATRX--MAGT1,1,0,CCLE_Omics,1
ATXN1--PPHLN1,1,0,CCLE_Omics,1
ATXN1-AS1--GSE1,1,0,CCLE_Omics,1
ATXN10--MT-ATP6,1,0,CCLE_Omics,1
ATXN10--MT-ND5,1,0,CCLE_Omics,1
ATXN10--PPARA,1,0,CCLE_Omics,1
ATXN2--BRAP,1,0,CCLE_Omics,1
ATXN2L--MT-ATP6,1,0,CCLE_Omics,1
ATXN2L--MT-CO1,1,0,CCLE_Omics,1
